Match_id,Team 1,Team 2,Winners_inng,Venue,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Year
3104,England,Netherlands,2,Nagpur,"Feb 22, 2011",England,India,Neutral,Neutral,Second,First,2011
3105,Kenya,Pakistan,1,Hambantota,"Feb 23, 2011",Pakistan,Sri Lanka,Neutral,Neutral,Second,First,2011
3106,South Africa,West Indies,2,Delhi,"Feb 24, 2011",South Africa,India,Neutral,Neutral,Second,First,2011
3107,Australia,New Zealand,2,Nagpur,"Feb 25, 2011",Australia,India,Neutral,Neutral,Second,First,2011
3108,Bangladesh,Ireland,1,Dhaka,"Feb 25, 2011",Bangladesh,Bangladesh,Home,Away,First,Second,2011
3109,Sri Lanka,Pakistan,1,Colombo,"Feb 26, 2011",Pakistan,Sri Lanka,Home,Away,Second,First,2011
3111,Canada,Zimbabwe,1,Nagpur,"Feb 28, 2011",Zimbabwe,India,Neutral,Neutral,Second,First,2011
3112,Netherlands,West Indies,1,Delhi,"Feb 28, 2011",West Indies,India,Neutral,Neutral,Second,First,2011
3113,Sri Lanka,Kenya,2,Colombo,"Mar 1, 2011",Sri Lanka,Sri Lanka,Home,Away,Second,First,2011
3114,England,Ireland,2,Bengaluru,"Mar 2, 2011",Ireland,India,Neutral,Neutral,First,Second,2011
3115,Netherlands,South Africa,1,Mohali,"Mar 3, 2011",South Africa,,Neutral,Neutral,Second,First,2011
3116,Canada,Pakistan,1,Colombo,"Mar 3, 2011",Pakistan,Sri Lanka,Neutral,Neutral,Second,First,2011
3117,New Zealand,Zimbabwe,2,Ahmedabad,"Mar 4, 2011",New Zealand,India,Neutral,Neutral,Second,First,2011
3118,Bangladesh,West Indies,2,Dhaka,"Mar 4, 2011",West Indies,Bangladesh,Home,Away,First,Second,2011
3120,England,South Africa,1,Chennai,"Mar 6, 2011",England,India,Neutral,Neutral,First,Second,2011
3121,India,Ireland,2,Bengaluru,"Mar 6, 2011",India,India,Home,Away,Second,First,2011
3122,Canada,Kenya,2,Delhi,"Mar 7, 2011",Canada,India,Neutral,Neutral,Second,First,2011
3123,New Zealand,Pakistan,1,Pallekele,"Mar 8, 2011",New Zealand,,Neutral,Neutral,First,Second,2011
3124,India,Netherlands,2,Delhi,"Mar 9, 2011",India,India,Home,Away,Second,First,2011
3125,Sri Lanka,Zimbabwe,1,Pallekele,"Mar 10, 2011",Sri Lanka,,Neutral,Neutral,First,Second,2011
3126,Ireland,West Indies,1,Mohali,"Mar 11, 2011",West Indies,,Neutral,Neutral,Second,First,2011
3127,Bangladesh,England,2,Chittagong,"Mar 11, 2011",Bangladesh,Bangladesh,Home,Away,Second,First,2011
3128,India,South Africa,2,Nagpur,"Mar 12, 2011",South Africa,India,Home,Away,First,Second,2011
3129,Canada,New Zealand,1,Mumbai,"Mar 13, 2011",New Zealand,India,Neutral,Neutral,Second,First,2011
3130,Australia,Kenya,1,Bengaluru,"Mar 13, 2011",Australia,India,Neutral,Neutral,First,Second,2011
3131,Bangladesh,Netherlands,2,Chittagong,"Mar 14, 2011",Bangladesh,Bangladesh,Home,Away,Second,First,2011
3132,Pakistan,Zimbabwe,2,Pallekele,"Mar 14, 2011",Pakistan,,Neutral,Neutral,Second,First,2011
3133,Ireland,South Africa,1,Kolkata,"Mar 15, 2011",South Africa,India,Neutral,Neutral,Second,First,2011
3134,Australia,Canada,2,Bengaluru,"Mar 16, 2011",Australia,India,Neutral,Neutral,Second,First,2011
3135,England,West Indies,1,Chennai,"Mar 17, 2011",England,India,Neutral,Neutral,First,Second,2011
3136,Ireland,Netherlands,2,Kolkata,"Mar 18, 2011",Ireland,India,Neutral,Neutral,Second,First,2011
3137,New Zealand,Sri Lanka,1,Mumbai,"Mar 18, 2011",Sri Lanka,India,Neutral,Neutral,Second,First,2011
3138,Bangladesh,South Africa,1,Dhaka,"Mar 19, 2011",South Africa,Bangladesh,Home,Away,Second,First,2011
3139,Australia,Pakistan,2,Colombo,"Mar 19, 2011",Pakistan,Sri Lanka,Neutral,Neutral,First,Second,2011
3140,Kenya,Zimbabwe,1,Kolkata,"Mar 20, 2011",Zimbabwe,India,Neutral,Neutral,Second,First,2011
3141,India,West Indies,1,Chennai,"Mar 20, 2011",India,India,Home,Away,First,Second,2011
3142,Pakistan,West Indies,2,Dhaka,"Mar 23, 2011",Pakistan,Bangladesh,Neutral,Neutral,Second,First,2011
3143,India,Australia,2,Ahmedabad,"Mar 24, 2011",India,India,Home,Away,Second,First,2011
3144,New Zealand,South Africa,1,Dhaka,"Mar 25, 2011",New Zealand,Bangladesh,Neutral,Neutral,First,Second,2011
3145,Sri Lanka,England,2,Colombo,"Mar 26, 2011",Sri Lanka,Sri Lanka,Home,Away,Second,First,2011
3146,Sri Lanka,New Zealand,2,Colombo,"Mar 29, 2011",Sri Lanka,Sri Lanka,Home,Away,Second,First,2011
3147,India,Pakistan,1,Mohali,"Mar 30, 2011",India,,Neutral,Neutral,First,Second,2011
3148,India,Sri Lanka,2,Mumbai,"Apr 2, 2011",India,India,Home,Away,Second,First,2011
3149,Bangladesh,Australia,1,Dhaka,"Apr 9, 2011",Australia,Bangladesh,Home,Away,Second,First,2011
3150,Bangladesh,Australia,2,Dhaka,"Apr 11, 2011",Australia,Bangladesh,Home,Away,First,Second,2011
3151,Bangladesh,Australia,1,Dhaka,"Apr 13, 2011",Australia,Bangladesh,Home,Away,Second,First,2011
3152,West Indies,Pakistan,2,Gros Islet,"Apr 23, 2011",Pakistan,West Indies,Home,Away,First,Second,2011
3153,West Indies,Pakistan,2,Gros Islet,"Apr 25, 2011",Pakistan,West Indies,Home,Away,First,Second,2011
3154,West Indies,Pakistan,2,Bridgetown,"Apr 28, 2011",Pakistan,West Indies,Home,Away,First,Second,2011
3155,West Indies,Pakistan,1,Bridgetown,"May 2, 2011",West Indies,West Indies,Home,Away,First,Second,2011
3156,West Indies,Pakistan,2,Providence,"May 5, 2011",West Indies,West Indies,Home,Away,Second,First,2011
3157,Ireland,Pakistan,2,Belfast,"May 28, 2011",Pakistan,Ireland,Home,Away,First,Second,2011
3158,Ireland,Pakistan,2,Belfast,"May 30, 2011",Pakistan,Ireland,Home,Away,First,Second,2011
